2026-01-19 07:08:20,468 | 2026-01-19 00:08:22 | CarA | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:08:56,700 | 2026-01-19 00:08:59 | CarA | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:12:49,976 | 2026-01-19 07:03:20 | CarC | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:12:53,107 | 2026-01-19 07:03:24 | CarC | EMERGENCY_BRAKE | 3 | PHANH G\u1ea4P!
2026-01-19 07:12:55,814 | 2026-01-19 07:03:26 | CarC | POSITION_UPDATE | 1 | \u0110\u1ecbnh v\u1ecb OK
2026-01-19 07:13:10,870 | 2026-01-19 07:03:38 | CarC | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:13:12,186 | 2026-01-19 07:03:42 | CarC | POSITION_UPDATE | 1 | \u0110\u1ecbnh v\u1ecb OK
2026-01-19 07:13:34,734 | 2026-01-19 00:13:37 | CarA | POSITION_UPDATE | 1 | \u0110\u1ecbnh v\u1ecb OK
2026-01-19 07:14:15,785 | 2026-01-19 07:04:46 | CarC | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:14:17,724 | 2026-01-19 07:04:48 | CarC | EMERGENCY_BRAKE | 3 | PHANH G\u1ea4P!
2026-01-19 07:14:19,676 | 2026-01-19 07:04:50 | CarC | POSITION_UPDATE | 1 | \u0110\u1ecbnh v\u1ecb OK
2026-01-19 07:14:23,361 | 2026-01-19 00:14:26 | CarA | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:14:30,168 | 2026-01-19 07:05:01 | CarC | OBSTACLE_AHEAD | 2 | Có v\u1eadt c\u1ea3n!
2026-01-19 07:14:31,150 | 2026-01-19 07:05:02 | CarC | EMERGENCY_BRAKE | 3 | PHANH G\u1ea4P!
